latitude,longitude,fips1,fips2,fips3,fips4,fips5,fips6
33.7279,-118.2858,060372971202002,060372971202003,060372971202001,060372971202004,,
33.7279,-118.2836,060372971202001,060372971202000,060372971202004,060372971202005,,
33.7279,-118.2829,060372971202000,060372971202005,,,,
33.728,-118.3117,060372974003006,060372970001017,,,,
33.728,-118.3078,060372970005008,060372970005009,060372973003002,060372973003001,,
33.7281,-118.2836,060372971202001,060372971202000,,,,
33.7282,-118.3109,060372970001016,060372970001015,,,,
33.7283,-118.3112,060372970001015,060372970001016,,,,
33.7284,-118.3101,060372970001016,060372970001019,,,,
33.7284,-118.2968,060372969012005,060372969012004,,,,
33.7284,-118.2755,060379800311116,060379800311115,060379800311106,,,
33.7284,-118.2685,060379800311064,060379800311149,,,,
33.7285,-118.3237,060372974003008,060372974003009,060372974003014,,,
33.7285,-118.3161,060372974001001,060372974001002,060372974001000,,,
33.7286,-118.311,060372970001016,,,,,
33.7287,-118.3138,060372974001003,060372974003006,,,,
33.7287,-118.2814,060372971202000,060372971201008,060372971201009,,,
33.7288,-118.3034,060372970005010,060372970005011,060372970005013,060372970005012,,
33.7288,-118.3012,060372970005011,060372969012006,060372970005012,060372969013005,,
33.7288,-118.299,060372969012006,060372969012005,060372969013005,,,
33.7288,-118.2968,060372969012005,060372969013005,060372969012004,,,
33.7288,-118.2966,060372969012004,060372969013005,,,,
33.7288,-118.2946,060372969012004,060372969013005,060372969012003,060372969012002,,
33.7288,-118.2924,060372969012002,060372969012003,060372969012001,060372969012008,,
33.7288,-118.2902,060372969012001,060372969012008,060372969012000,060372969012007,,
33.7288,-118.288,060372969012000,060372969012007,060372971201011,060372971202002,,
33.7288,-118.2858,060372971201011,060372971202002,060372971201010,060372971202001,,
33.7288,-118.2836,060372971201010,060372971201009,060372971202001,060372971202000,,
33.7288,-118.2814,060372971201008,060372971201009,060372971202000,,,
33.7288,-118.2813,060372971201008,060372971202000,,,,
33.7289,-118.3144,060372974001000,060372974003006,060372974001003,,,
33.7289,-118.3078,060372970005003,060372970005008,060372970005009,,,
33.7289,-118.3056,060372970005003,060372970005013,060372970005009,060372970005010,,
33.7289,-118.2846,060372971201010,,,,,
33.729,-118.3204,060372974003011,060372974003010,060372974003009,,,
