Rank_0,Rank_1,Team (FPV),Conf,WLT,Points,Last Week,W-L,BCS,CP,CFP,3WT
RV,< NR,Central Michigan,MAC,,3, ,,,,,
RV,< NR,LSU,SEC,,2, ,,,,,
RV,< NR,Fresno State,Big West,,1, ,,,,,
1,< 1,Virginia (44),ACC,7-0,1462,DNP,,,,,
2,< 3,Notre Dame (6),Ind,6-1,1380, ,,,,,
3,< 4,Nebraska (5),Big 8,8-0,1350, ,,,,,
4,< 2,Auburn (2),SEC,6-0-1,1284, ,,,,,
5,< 5,Illinois,Big Ten,6-1,1230, ,,,,,
6,< 6,Houston (2),Southwest,7-0,1196, ,,,,,
7,< 7,Washington (1),Pac-10,7-1,1189, ,,,,,
8,< 8,Miami (FL),Ind,5-2,1074, ,,,,,
9,< 10,Colorado,Big 8,7-1-1,1009, ,,,,,
10,< 9,BYU,WAC,6-1,943, ,,,,,
11,< 11,Tennessee,SEC,4-1-2,870, ,,,,,
12,< 12,Florida State,Ind,5-2,807, ,,,,,
13,< 15,Iowa,Big Ten,6-1,759, ,,,,,
14,< 13,Texas,Southwest,5-1,742, ,,,,,
15,< 14,Florida,SEC,6-1,638, ,,,,,
16,< 16,Georgia Tech,ACC,6-0-1,612, ,,,,,
17,< 17,Mississippi,SEC,7-1,519, ,,,,,
18,< 19,Clemson,ACC,7-2,424, ,,,,,
19,< 18,Wyoming,WAC,9-0,407,W 17-10 A UTEP,,,,,
20,< 20,Michigan,Big Ten,4-3,403, ,,,,,
21,< 21,USC,Pac-10,6-2,333, ,,,,,
22,< 25,Oregon,Pac-10,6-2,230, ,,,,,
23,< 23,Arizona,Pac-10,6-2,225,W 42-34 H Washington State,,,,,
24,< NR,Penn State,Ind,5-2,123, ,,,,,
25,< NR,Louisville,Ind,7-1-1,108,W 41-7 H Western Kentucky,,,,,
RV,< NR,Michigan State,Big Ten,,50, ,,,,,
RV,< NR,Ohio State,Big Ten,,38, ,,,,,
RV,< NR,Texas A&M,Southwest,,37, ,,,,,
RV,< 22,Oklahoma,Big 8,5-3,29,L 32-23 A #10 Colorado,,,,,
RV,< NR,Central Michigan,MAC,,9, ,,,,,
RV,< NR,Georgia,SEC,,6, ,,,,,
RV,< NR,Indiana,Big Ten,,5, ,,,,,
RV,< 24,TCU,Southwest,,4, ,,,,,
RV,< NR,NC State,ACC,,1, ,,,,,
RV,< NR,North Carolina,ACC,,1, ,,,,,
RV,< NR,South Carolina,Ind,,1, ,,,,,
RV,< NR,Syracuse,Ind,,1, ,,,,,
RV,< NR,UCLA,Pac-10,,1, ,,,,,
1,< 2,Notre Dame (37),Ind,7-1,1456,W 52-31 N Navy,,,,,
2,< 7,Washington (13),Pac-10,8-1,1403, ,,,,,
3,< 6,Houston (5),Southwest,8-0,1337, ,,,,,
4,< 9,Colorado (5),Big 8,8-1-1,1310, ,,,,,
5,< 8,Miami (FL),Ind,6-2,1228, ,,,,,
6,< 13,Iowa,Big Ten,7-1,1129,W 54-28 A #5 Illinois,,,,,
7,< 16,Georgia Tech,ACC,7-0-1,1074, ,,,,,
8,< 10,BYU,WAC,7-1,1039, ,,,,,
9,< 11,Tennessee,SEC,5-1-2,980, ,,,,,
10,< 15,Florida,SEC,7-1,949, ,,,,,
11,< 1,Virginia,ACC,7-1,924,L 41-38 H #16 Georgia Tech,,,,,
12,< 12,Florida State,Ind,6-2,845, ,,,,,
13,< 3,Nebraska,Big 8,8-1,818, ,,,,,
14,< 14,Texas,Southwest,6-1,782, ,,,,,
15,< 4,Auburn,SEC,6-1-1,650, ,,,,,
16,< 17,Mississippi,SEC,8-1,600, ,,,,,
17,< 5,Illinois,Big Ten,6-2,568,L 54-28 H #13 Iowa,,,,,
18,< 18,Clemson,ACC,8-2,509, ,,,,,
19,< 20,Michigan,Big Ten,5-3,438, ,,,,,
20,< 22,Oregon,Pac-10,7-2,362, ,,,,,
21,< 24,Penn State,Ind,6-2,279, ,,,,,
22,< 25,Louisville,Ind,8-1-1,224,W 41-16 A Cincinnati,,,,,
23,< 21,USC,Pac-10,6-2-1,148, ,,,,,
24,< NR,Michigan State,Big Ten,4-3-1,106, ,,,,,
25,< 19,Wyoming,WAC,9-1,84,L 17-8 A Colorado State,,,,,
RV,< NR,Texas A&M,Southwest,,73, ,,,,,
RV,< NR,Ohio State,Big Ten,,71, ,,,,,
RV,< NR,Oklahoma,Big 8,,36, ,,,,,
