Rank_0,Rank_1,Team (FPV),Conf,WLT,Points,Last Week,W-L,BCS,CP,CFP,3WT
20,< 21,Louisville,ACC,,406,DNP,9-3,, 20 ,21,
21,< 22,Boise State,MWC,,368,W 28-14 H Fresno State (MWC CG),11-2,, 21 ,20,
22,< 23,LSU,SEC,,221,DNP,8-4,, 23 ,23,
23,< 24,Utah,Pac-12,,134,DNP,8-4,, 25 ,22,
24,< NR,USC,Pac-12,,112,DNP,8-4,, RV ,24,
25,< 25,Nebraska,Big Ten,,79,DNP,9-3,, 22 ,NR,
RV,< NR,Minnesota,Big Ten,,58,DNP,8-4,, RV ,25,
RV,< 18,Oklahoma,Big 12,,46,L 38-35 (1OT) H Oklahoma State,8-4,, 24 ,NR,
RV,< NR,Marshall,C-USA,,36,W 26-23 H Louisiana Tech (C-USA CG),12-1,, RV ,NR,
RV,< NR,Memphis,American,,34,DNP,9-3,, RV ,NR,
RV,< NR,Duke,ACC,,32,DNP,9-3,, RV ,NR,
RV,< NR,Colorado State,MWC,,13,DNP,10-2,, RV ,NR,
RV,< NR,Northern Illinois,MAC,,11,W 51-17 N Bowling Green (MAC CG),11-2,, RV ,NR,
RV,< NR,Air Force,MWC,,7,DNP,9-3,, RV ,NR,
RV,< NR,Cincinnati,American,,5,W 38-31 H Houston,9-3,, RV ,NR,
RV,< NR,UCF,American,,4,W 32-30 A East Carolina,9-3,, RV ,NR,
RV,< NR,West Virginia,Big 12,,4,DNP,7-5,, NR ,NR,
RV,< NR,Stanford,Pac-12,,1,DNP,7-5,, RV ,NR,
NR,< NR,BYU,Ind,,0,DNP,8-4,, RV ,NR,
1,< 5,Ohio State (59),Big Ten,,1475,W 42-20 N #3 Oregon (CFP Final),14-1,, *1 ,,
2,< 3,Oregon,Pac-12,,1402,L 42-20 N #5 Ohio State (CFP Final),13-2,, 2 ,,
3,< 6,TCU,Big 12,,1349,W 42-3 N #9 Mississippi (Peach),12-1,, 3 ,,
4,< 1,Alabama,SEC,,1297,L 42-35 N #5 Ohio State (CFP Semi/Sugar),12-2,, 4 ,,
5,< 2,Florida State,ACC,,1212,L 59-20 N #3 Oregon (CFP Semi/Rose),13-1,, 6 ,,
5,< 7,Michigan State,Big Ten,,1212,W 42-41 N #4 Baylor (Cotton),11-2,, 5 ,,
7,< 4,Baylor,Big 12,,1098,L 42-41 N #7 Michigan State (Cotton),11-2,, 8 ,,
8,< 10,Georgia Tech,ACC,,1071,W 49-34 N #8 Mississippi State (Orange),11-3,, 7 ,,
9,< 13,Georgia,SEC,,925,W 37-14 N #20 Louisville (Belk),10-3,, 9 ,,
10,< 14,UCLA,Pac-12,,908,W 40-35 N #11 Kansas State (Alamo),10-3,, 10 ,,
11,< 8,Mississippi State,SEC,,767,L 49-34 N #10 Georgia Tech (Orange),10-3,, 12 ,,
12,< 15,Arizona State,Pac-12,,756,W 36-31 N Duke (Sun),10-3,, 14 ,,
13,< 17,Wisconsin,Big Ten,,724,W 34-31 (1OT) N #19 Auburn (Outback),11-3,, 13 ,,
14,< 16,Missouri,SEC,,710,W 33-17 N Minnesota (Citrus),11-3,, 11 ,,
15,< 18,Clemson,ACC,,683,W 40-6 N Oklahoma (Russell Athletic),10-3,, 15 ,,
16,< 21,Boise State,MWC,,653,W 38-30 N #12 Arizona (Fiesta),12-2,, 16 ,,
17,< 9,Mississippi,SEC,,543,L 42-3 N #6 TCU (Peach),9-4,, 19 ,,
18,< 11,Kansas State,Big 12,,509,L 40-35 N #14 UCLA (Alamo),9-4,, 18 ,,
19,< 12,Arizona,Pac-12,,499,L 38-30 N #21 Boise State (Fiesta),10-4,, 17 ,,
20,< 24,USC,Pac-12,,315,W 45-42 N #25 Nebraska (Holiday),9-4,, 21 ,,
21,< 23,Utah,Pac-12,,302,W 45-10 N Colorado State (Las Vegas),9-4,, 20 ,,
22,< 19,Auburn,SEC,,216,L 34-31 (1OT) N #17 Wisconsin (Outback),8-5,, 23 ,,
23,< NR,Marshall,C-USA,,161,W 52-23 N Northern Illinois (Boca Raton),13-1,, 22 ,,
24,< 20,Louisville,ACC,,116,L 37-14 N #13 Georgia (Belk),9-4,, 24 ,,
25,< NR,Memphis,American,,94,W 55-48 (2OT) N BYU (Miami Beach),10-3,, 25 ,,
RV,< NR,Notre Dame,Ind,,28,W 31-28 N #22 LSU (Music City),8-5,, RV ,,
RV,< NR,Stanford,Pac-12,,27,W 45-21 N Maryland (Foster Farms),8-5,, RV ,,
RV,< 25,Nebraska,Big Ten,,22,L 45-42 N #24 USC (Holiday),9-4,, RV ,,
RV,< NR,Air Force,MWC,,21,W 38-24 N Western Michigan (Idaho Potato),10-3,, RV ,,
RV,< NR,Duke,ACC,,18,L 36-31 N #15 Arizona State (Sun),9-4,, RV ,,
RV,< 22,LSU,SEC,,12,L 31-28 N Notre Dame (Music City),8-5,, RV ,,
RV,< NR,Utah State,MWC,,11,W 21-6 N UTEP (New Mexico),10-4,, RV ,,
RV,< NR,Arkansas,SEC,,10,W 31-7 N Texas (Texas),7-6,, RV ,,
RV,< NR,Minnesota,Big Ten,,9,L 33-17 N #16 Missouri (Citrus),8-5,, RV ,,
RV,< NR,Oklahoma,Big 12,,7,L 40-6 N #18 Clemson (Russell Athletic),8-5,, RV ,,
RV,< NR,Texas A&M,SEC,,7,L 45-21 N Stanford (Foster Farms),8-5,, RV ,,
RV,< NR,Northern Illinois,MAC,,4,L 52-23 N Marshall (Boca Raton),11-3,, RV ,,
RV,< NR,Colorado State,MWC,,2,L 45-10 N #23 Utah (Las Vegas),10-3,, NR ,,
NR,< NR,Louisiana Tech,C-USA,,0,W 35-18 N Illinois (Heart of Dallas),9-5,, RV ,,
NR,< NR,Navy,Ind,,0,W 17-16 N San Diego State (Poinsettia),8-5,, RV ,,
NR,< NR,Oklahoma State,Big 12,,0,W 30-22 N Washington (Cactus),7-6,, RV ,,
NR,< NR,Rutgers,Big Ten,,0,W 40-21 N North Carolina (Quick Lane),8-5,, RV ,,
NR,< NR,Washington,Pac-12,,0,L 30-22 N Oklahoma State (Cactus),8-6,, RV ,,
1,< 1,Ohio State (61),Big Ten,,1525,DNP,0-0,, *1 ,,
2,< 3,TCU,Big 12,,1428,DNP,0-0,, *2 ,,
3,< 4,Alabama,SEC,,1322,DNP,0-0,, *3 ,,
4,< 7,Baylor,Big 12,,1263,DNP,0-0,, 4 ,,
5,< 5,Michigan State,Big Ten,,1256,DNP,0-0,, 6 ,,
6,< 22,Auburn,SEC,,1192,DNP,0-0,, 7 ,,
7,< 2,Oregon,Pac-12,,1156,DNP,0-0,, 5 ,,
8,< 20,USC,Pac-12,,1085,DNP,0-0,, 10 ,,
9,< 9,Georgia,SEC,,991,DNP,0-0,, 9 ,,
10,< 5,Florida State,ACC,,959,DNP,0-0,, 8 ,,
11,< NR,Notre Dame,Ind,,873,DNP,0-0,, 11 ,,
12,< 15,Clemson,ACC,,862,DNP,0-0,, 12 ,,
13,< 10,UCLA,Pac-12,,698,DNP,0-0,, 14 ,,
14,< NR,LSU,SEC,,675,DNP,0-0,, 13 ,,
15,< 12,Arizona State,Pac-12,,605,DNP,0-0,, 16 ,,
16,< 8,Georgia Tech,ACC,,588,DNP,0-0,, 17 ,,
17,< 17,Mississippi,SEC,,563,DNP,0-0,, 15 ,,
18,< NR,Arkansas,SEC,,410,DNP,0-0,, 20 ,,
19,< NR,Oklahoma,Big 12,,394,DNP,0-0,, 19 ,,
20,< 13,Wisconsin,Big Ten,,393,DNP,0-0,, 18 ,,
21,< NR,Stanford,Pac-12,,347,DNP,0-0,, 21 ,,
22,< 19,Arizona,Pac-12,,311,DNP,0-0,, 22 ,,
23,< 16,Boise State,MWC,,240,DNP,0-0,, 24 ,,
24,< 14,Missouri,SEC,,219,DNP,0-0,, 23 ,,
25,< NR,Tennessee,SEC,,114,DNP,0-0,, 25 ,,
RV,< 11,Mississippi State,SEC,,100,DNP,0-0,, RV ,,
RV,< NR,Texas A&M,SEC,,61,DNP,0-0,, RV ,,
RV,< NR,Oklahoma State,Big 12,,46,DNP,0-0,, RV ,,
RV,< NR,Virginia Tech,ACC,,42,DNP,0-0,, RV ,,
RV,< 21,Utah,Pac-12,,36,DNP,0-0,, RV ,,
RV,< NR,Penn State,Big Ten,,20,DNP,0-0,, RV ,,
RV,< 24,Louisville,ACC,,12,DNP,0-0,, RV ,,
RV,< NR,Cincinnati,American,,8,DNP,0-0,, RV ,,
RV,< NR,Nebraska,Big Ten,,6,DNP,0-0,, RV ,,
RV,< 18,Kansas State,Big 12,,5,DNP,0-0,, RV ,,
RV,< NR,Florida,SEC,,4,DNP,0-0,, RV ,,
RV,< NR,NC State,ACC,,4,DNP,0-0,, RV ,,
RV,< NR,Texas,Big 12,,3,DNP,0-0,, RV ,,
RV,< NR,BYU,Ind,,2,DNP,0-0,, RV ,,
RV,< NR,Michigan,Big Ten,,2,DNP,0-0,, RV ,,
RV,< NR,Northern Illinois,MAC,,2,DNP,0-0,, NR ,,
RV,< NR,California,Pac-12,,1,DNP,0-0,, NR ,,
RV,< NR,West Virginia,Big 12,,1,DNP,0-0,, RV ,,
RV,< NR,Western Kentucky,C-USA,,1,DNP,0-0,, NR ,,
NR,< NR,Air Force,MWC,,0,DNP,0-0,, RV ,,
NR,< NR,Duke,ACC,,0,DNP,0-0,, RV ,,
NR,< NR,Georgia Southern,Sun Belt,,0,DNP,0-0,, RV ,,
NR,< NR,Illinois,Big Ten,,0,DNP,0-0,, RV ,,
NR,< NR,Kentucky,SEC,,0,DNP,0-0,, RV ,,
NR,< NR,Louisiana Tech,C-USA,,0,DNP,0-0,, RV ,,
NR,< 23,Marshall,C-USA,,0,DNP,0-0,, RV ,,
NR,< NR,Maryland,Big Ten,,0,DNP,0-0,, RV ,,
NR,< 25,Memphis,American,,0,DNP,0-0,, NR ,,
NR,< NR,Miami (FL),ACC,,0,DNP,0-0,, RV ,,
NR,< NR,Minnesota,Big Ten,,0,DNP,0-0,, RV ,,
NR,< NR,North Carolina,ACC,,0,DNP,0-0,, RV ,,
NR,< NR,South Carolina,SEC,,0,DNP,0-0,, RV ,,
NR,< NR,UCF,American,,0,DNP,0-0,, RV ,,
NR,< NR,Utah State,MWC,,0,DNP,0-0,, RV ,,
NR,< NR,Washington,Pac-12,,0,DNP,0-0,, RV ,,
1,< 1,Ohio State (61),Big Ten,,1525,W 42-24 A Virginia Tech,1-0,, *1 ,,
2,< 3,Alabama,SEC,,1420,W 35-17 N #20 Wisconsin (Advocare Classic),1-0,, *2 ,,
3,< 2,TCU,Big 12,,1365,W 23-17 A Minnesota,1-0,, 3 ,,
4,< 4,Baylor,Big 12,,1252,W 56-21 A SMU,1-0,, 4 ,,
5,< 5,Michigan State,Big Ten,,1198,W 37-24 A Western Michigan,1-0,, 6 ,,
6,< 6,Auburn,SEC,,1166,W 31-24 H Louisville,1-0,, 7 ,,
7,< 7,Oregon,Pac-12,,1081,W 61-42 H Eastern Washington,1-0,, 5 ,,
8,< 8,USC,Pac-12,,1074,W 55-6 H Arkansas State,1-0,, 10 ,,
9,< 11,Notre Dame,Ind,,1061,W 38-3 H Texas,1-0,, 11 ,,
10,< 9,Georgia,SEC,,981,W 51-14 H Louisiana-Monroe,1-0,, 9 ,,
11,< 10,Florida State,ACC,,942,W 59-16 H Texas State,1-0,, 8 ,,
12,< 12,Clemson,ACC,,862,W 49-10 H Wofford,1-0,, 12 ,,
13,< 13,UCLA,Pac-12,,833,W 34-16 H Virginia,1-0,, 13 ,,
14,< 14,LSU,SEC,,653,DNP,0-0,, 15 ,,
15,< 16,Georgia Tech,ACC,,636,W 69-6 H Alcorn State,1-0,, 16 ,,
16,< NR,Texas A&M,SEC,,629,W 38-17 N #15 Arizona State (Advocare Texas Kickoff),1-0,, 19 ,,
17,< 17,Mississippi,SEC,,600,W 76-3 H Tennessee-Martin,1-0,, 14 ,,
18,< 18,Arkansas,SEC,,480,W 48-13 H UTEP,1-0,, 18 ,,
19,< 19,Oklahoma,Big 12,,469,W 41-3 H Akron,1-0,, 17 ,,
20,< 23,Boise State,MWC,,279,W 16-13 H Washington,1-0,, 22 ,,
21,< 24,Missouri,SEC,,274,W 34-3 H Southeast Missouri State,1-0,, 21 ,,
22,< 22,Arizona,Pac-12,,259,W 42-32 H UTSA,1-0,, 20 ,,
23,< 25,Tennessee,SEC,,169,W 59-30 N Bowling Green,1-0,, 23 ,,
24,< NR,Utah,Pac-12,,137,W 24-17 H Michigan,1-0,, 25 ,,
25,< NR,Mississippi State,SEC,,104,W 34-16 A Southern Miss,1-0,, RV ,,
RV,< 20,Wisconsin,Big Ten,,79,L 35-17 N #3 Alabama (Advocare Classic),0-1,, 24 ,,
RV,< NR,BYU,Ind,,74,W 33-28 A Nebraska,1-0,, RV ,,
RV,< NR,Northwestern,Big Ten,,72,W 16-6 H #21 Stanford,1-0,, RV ,,
RV,< 15,Arizona State,Pac-12,,49,L 38-17 N Texas A&M (Advocare Texas Kickoff),0-1,, RV ,,
RV,< NR,Oklahoma State,Big 12,,30,W 24-13 A Central Michigan,1-0,, RV ,,
RV,< NR,West Virginia,Big 12,,23,W 44-0 H Georgia Southern,1-0,, RV ,,
RV,< NR,Florida,SEC,,8,W 61-13 H New Mexico State,1-0,, RV ,,
RV,< NR,Temple,American,,8,W 27-10 H Penn State,1-0,, RV ,,
RV,< NR,Cincinnati,American,,7,W 52-10 H Alabama A&M,1-0,, NR ,,
RV,< NR,Kansas State,Big 12,,7,W 34-0 H South Dakota,1-0,, RV ,,
RV,< NR,Minnesota,Big Ten,,5,L 23-17 H #2 TCU,0-1,, RV ,,
RV,< NR,Louisville,ACC,,4,L 31-24 A #6 Auburn,0-1,, RV ,,
RV,< NR,NC State,ACC,,4,W 49-21 H Troy,1-0,, RV ,,
RV,< NR,Western Kentucky,C-USA,,3,W 14-12 A Vanderbilt,1-0,, NR ,,
RV,< NR,California,Pac-12,,2,W 73-14 H Grambling State,1-0,, RV ,,
RV,< 21,Stanford,Pac-12,,1,L 16-6 A Northwestern,0-1,, RV ,,
NR,< NR,Duke,ACC,,0,W 37-7 A Tulane,1-0,, RV ,,
NR,< NR,Illinois,Big Ten,,0,W 52-3 H Kent State,1-0,, RV ,,
NR,< NR,Louisiana Tech,C-USA,,0,W 62-15 H Southern,1-0,, RV ,,
NR,< NR,Marshall,C-USA,,0,W 41-31 H Purdue,1-0,, RV ,,
NR,< NR,Maryland,Big Ten,,0,W 50-21 H Richmond,1-0,, RV ,,
NR,< NR,Memphis,American,,0,W 63-7 H Missouri State,1-0,, RV ,,
NR,< NR,Miami (FL),ACC,,0,W 45-0 H Bethune-Cookman,1-0,, RV ,,
NR,< NR,Nebraska,Big Ten,,0,L 33-28 H BYU,0-1,, RV ,,
NR,< NR,Pittsburgh,ACC,,0,W 45-37 H Youngstown State,1-0,, RV ,,
NR,< NR,South Carolina,SEC,,0,W 17-13 N North Carolina,1-0,, RV ,,
1,< 1,Ohio State (59),Big Ten,,1523,W 38-0 H Hawaii,2-0,, *1 ,,
2,< 2,Alabama,SEC,,1423,W 37-10 H Middle Tennessee,2-0,, *2 ,,
3,< 3,TCU,Big 12,,1366,W 70-7 H Stephen F. Austin,2-0,, 3 ,,
4,< 5,Michigan State (2),Big Ten,,1354,W 31-28 H #7 Oregon,2-0,, 4 ,,
5,< 4,Baylor,Big 12,,1240,W 66-31 H Lamar,2-0,, 5 ,,
6,< 8,USC,Pac-12,,1146,W 59-9 H Idaho,2-0,, 7 ,,
7,< 10,Georgia,SEC,,1031,W 31-14 A Vanderbilt,2-0,, 8 ,,
8,< 9,Notre Dame,Ind,,1012,W 34-27 A Virginia,2-0,, 10 ,,
9,< 11,Florida State,ACC,,973,W 34-14 H South Florida,2-0,, 6 ,,
10,< 13,UCLA,Pac-12,,928,W 37-3 A UNLV,2-0,, 12 ,,
11,< 12,Clemson,ACC,,926,W 41-10 H Appalachian State,2-0,, 9 ,,
12,< 7,Oregon,Pac-12,,833,L 31-28 A #5 Michigan State,1-1,, 13 ,,
13,< 14,LSU,SEC,,787,W 21-19 A #25 Mississippi State,1-0,, 14 ,,
14,< 15,Georgia Tech,ACC,,716,W 65-10 H Tulane,2-0,, 16 ,,
15,< 17,Mississippi,SEC,,713,W 73-21 H Fresno State,2-0,, 11 ,,
16,< 19,Oklahoma,Big 12,,705,W 31-24 (2OT) A #23 Tennessee,2-0,, 17 ,,
17,< 16,Texas A&M,SEC,,703,W 56-23 H Ball State,2-0,, 18 ,,
18,< 6,Auburn,SEC,,519,W 27-20 (1OT) H Jacksonville State,2-0,, 15 ,,
19,< NR,BYU,Ind,,349,W 35-24 H #20 Boise State,2-0,, 22 ,,
20,< 22,Arizona,Pac-12,,342,W 44-20 A Nevada,2-0,, 19 ,,
21,< 24,Utah,Pac-12,,290,W 24-14 H Utah State,2-0,, 21 ,,
22,< 21,Missouri,SEC,,264,W 27-20 A Arkansas State,2-0,, 20 ,,
23,< NR,Northwestern,Big Ten,,170,W 41-0 H Eastern Illinois,2-0,, 24 ,,
24,< NR,Wisconsin,Big Ten,,158,W 58-0 H Miami (OH),1-1,, 23 ,,
25,< NR,Oklahoma State,Big 12,,48,W 32-8 H Central Arkansas,2-0,, 25 ,,
RV,< NR,Temple,American,,38,W 34-26 A Cincinnati,2-0,, RV ,,
RV,< NR,West Virginia,Big 12,,37,W 41-17 H Liberty,2-0,, RV ,,
RV,< 25,Mississippi State,SEC,,32,L 21-19 H #14 LSU,1-1,, RV ,,
RV,< 23,Tennessee,SEC,,30,L 31-24 (2OT) H #19 Oklahoma,1-1,, RV ,,
RV,< NR,Toledo,MAC,,29,W 16-12 A #18 Arkansas,1-0,, RV ,,
RV,< NR,Kansas State,Big 12,,26,W 30-3 A UTSA,2-0,, RV ,,
RV,< NR,Arizona State,Pac-12,,20,W 35-21 H Cal Poly,1-1,, RV ,,
RV,< 20,Boise State,MWC,,16,L 35-24 A BYU,1-1,, RV ,,
RV,< NR,Houston,American,,16,W 34-31 A Louisville,2-0,, RV ,,
RV,< NR,NC State,ACC,,14,W 35-0 H Eastern Kentucky,2-0,, RV ,,
RV,< NR,Florida,SEC,,12,W 31-24 H East Carolina,2-0,, RV ,,
RV,< NR,Minnesota,Big Ten,,9,W 23-20 (1OT) A Colorado State,1-1,, RV ,,
RV,< 18,Arkansas,SEC,,6,L 16-12 H Toledo,1-1,, RV ,,
RV,< NR,California,Pac-12,,5,W 35-7 H San Diego State,2-0,, RV ,,
RV,< NR,Iowa,Big Ten,,5,W 31-17 A Iowa State,2-0,, RV ,,
RV,< NR,Miami (FL),ACC,,3,W 44-20 A Florida Atlantic,2-0,, RV ,,
RV,< NR,Stanford,Pac-12,,3,W 31-7 H UCF,1-1,, NR ,,
RV,< NR,Virginia Tech,ACC,,2,W 42-3 H Furman,1-1,, NR ,,
RV,< NR,Western Kentucky,C-USA,,2,W 41-38 H Louisiana Tech,2-0,, RV ,,
RV,< NR,Duke,ACC,,1,W 55-0 H North Carolina Central,2-0,, RV ,,
NR,< NR,Illinois,Big Ten,,0,W 44-0 H Western Illinois,2-0,, RV ,,
NR,< NR,Kentucky,SEC,,0,W 26-22 A South Carolina,2-0,, RV ,,
NR,< NR,Memphis,American,,0,W 55-23 A Kansas,2-0,, RV ,,
NR,< NR,Michigan,Big Ten,,0,W 35-7 H Oregon State,1-1,, RV ,,
NR,< NR,Nebraska,Big Ten,,0,W 48-9 H South Alabama,1-1,, RV ,,
NR,< NR,Pittsburgh,ACC,,0,W 24-7 A Akron,2-0,, RV ,,
NR,< NR,South Carolina,SEC,,0,L 26-22 H Kentucky,1-1,, RV ,,
1,< 1,Ohio State (42),Big Ten,,1490,W 20-13 H Northern Illinois,3-0,, *1 ,, 0 
2,< 4,Michigan State (7),Big Ten,,1415,W 35-21 H Air Force,3-0,, *3 ,, +3 
3,< 15,Mississippi (11),SEC,,1345,W 43-37 A #2 Alabama,3-0,, 5 ,, +14 
3,< 3,TCU,Big 12,,1345,W 56-37 H SMU,3-0,, 2 ,, 0 
5,< 5,Baylor,Big 12,,1213,DNP,2-0,, 4 ,, -1 
6,< 8,Notre Dame,Ind,,1183,W 30-22 H #14 Georgia Tech,3-0,, 8 ,, +3 
7,< 7,Georgia,SEC,,1162,W 52-20 H South Carolina,3-0,, 6 ,, +3 
8,< 13,LSU (1),SEC,,1088,W 45-21 H #18 Auburn,2-0,, 9 ,, +6 
9,< 10,UCLA,Pac-12,,981,W 24-23 H #19 BYU,3-0,, 11 ,, +4 
10,< 9,Florida State,ACC,,953,W 14-0 A Boston College,3-0,, 7 ,, +1 
11,< 11,Clemson,ACC,,903,W 20-17 A Louisville,3-0,, 10 ,, +1 
12,< 2,Alabama,SEC,,882,L 43-37 H #15 Mississippi,2-1,, 12 ,, -10 
13,< 12,Oregon,Pac-12,,855,W 61-28 H Georgia State,2-1,, 13 ,, -6 
14,< 17,Texas A&M,SEC,,798,W 44-27 H Nevada,3-0,, 15 ,, +2 
15,< 16,Oklahoma,Big 12,,782,W 52-38 H Tulsa,3-0,, 14 ,, +4 
16,< 20,Arizona,Pac-12,,488,W 77-13 H Northern Arizona,3-0,, 16 ,, +6 
17,< 23,Northwestern,Big Ten,,469,W 19-10 A Duke,3-0,, 19 ,, +9 
18,< 21,Utah,Pac-12,,439,W 45-24 A Fresno State,3-0,, 17 ,, +6 
19,< 6,USC,Pac-12,,367,L 41-31 H Stanford,2-1,, 18 ,, -11 
20,< 14,Georgia Tech,ACC,,352,L 30-22 A #8 Notre Dame,2-1,, 20 ,, -5 
21,< NR,Stanford,Pac-12,,288,W 41-31 A #6 USC,2-1,, 24 ,, +5 
22,< 19,BYU,Ind,,174,L 24-23 A #10 UCLA,2-1,, RV ,, +4 
22,< 24,Wisconsin,Big Ten,,174,W 28-3 H Troy,2-1,, 21 ,, +4 
24,< 25,Oklahoma State,Big 12,,149,W 69-14 H UTSA,3-0,, 22 ,, +2 
25,< 22,Missouri,SEC,,135,W 9-6 H Connecticut,3-0,, 23 ,, -4 
RV,< NR,Mississippi State,SEC,,52,W 62-13 H Northwestern State,2-1,, RV ,, -1 
RV,< NR,West Virginia,Big 12,,48,DNP,2-0,, RV ,, -- 
RV,< NR,Tennessee,SEC,,45,W 55-10 H Western Carolina,2-1,, RV ,, -3 
RV,< NR,California,Pac-12,,38,W 45-44 A Texas,3-0,, RV ,, -- 
RV,< NR,Toledo,MAC,,36,W 30-23 (2OT) H Iowa State,2-0,, RV ,, -- 
RV,< NR,Arizona State,Pac-12,,25,W 34-10 H New Mexico,2-1,, RV ,, -- 
RV,< NR,Houston,American,,22,DNP,2-0,, RV ,, -- 
RV,< 18,Auburn,SEC,,20,L 45-21 A #13 LSU,2-1,, 25 ,, -20 
RV,< NR,Temple,American,,20,W 25-23 A Massachusetts,3-0,, RV ,, -- 
RV,< NR,Texas Tech,Big 12,,20,W 35-24 A Arkansas,3-0,, RV ,, -- 
RV,< NR,Boise State,MWC,,17,W 52-0 H Idaho State,2-1,, RV ,, -6 
RV,< NR,Miami (FL),ACC,,13,W 36-33 (1OT) H Nebraska,3-0,, RV ,, -- 
RV,< NR,Iowa,Big Ten,,10,W 27-24 H Pittsburgh,3-0,, RV ,, -- 
RV,< NR,Kansas State,Big 12,,8,W 39-33 (3OT) H Louisiana Tech,3-0,, RV ,, -- 
RV,< NR,Florida,SEC,,7,W 14-9 A Kentucky,3-0,, RV ,, -- 
RV,< NR,NC State,ACC,,5,W 38-14 A Old Dominion,3-0,, RV ,, -- 
RV,< NR,Minnesota,Big Ten,,4,W 10-7 H Kent State,2-1,, RV ,, -- 
RV,< NR,Virginia Tech,ACC,,4,W 51-24 A Purdue,2-1,, RV ,, -- 
RV,< NR,Memphis,American,,1,W 44-41 A Bowling Green,3-0,, RV ,, -- 
NR,< NR,Boston College,ACC,,0,L 14-0 H #9 Florida State,2-1,, RV ,, -- 
NR,< NR,Northern Illinois,MAC,,0,L 20-13 A #1 Ohio State,2-1,, RV ,, -- 
1,< 1,Ohio State (45),Big Ten,,1482,W 38-12 H Western Michigan,4-0,, *1 ,, 0 
2,< 2,Michigan State (5),Big Ten,,1397,W 30-10 H Central Michigan,4-0,, *2 ,, +2 
3,< 3,Mississippi (10),SEC,,1349,W 27-16 H Vanderbilt,4-0,, *5 ,, +12 
4,< 3,TCU,Big 12,,1254,W 55-52 A Texas Tech,4-0,, 3 ,, -1 
5,< 5,Baylor,Big 12,,1196,W 70-17 H Rice,3-0,, 4 ,, 0 
6,< 6,Notre Dame,Ind,,1163,W 62-27 H Massachusetts,4-0,, 7 ,, +2 
7,< 9,UCLA,Pac-12,,1156,W 56-30 A #16 Arizona,4-0,, 10 ,, +3 
8,< 7,Georgia,SEC,,1147,W 48-6 H Southern,4-0,, 6 ,, -1 
9,< 8,LSU,SEC,,1075,W 34-24 A Syracuse,3-0,, 8 ,, +4 
10,< 18,Utah (1),Pac-12,,1034,W 62-20 A #13 Oregon,4-0,, 12 ,, +11 
11,< 10,Florida State,ACC,,888,DNP,3-0,, 9 ,, -2 
12,< 11,Clemson,ACC,,853,DNP,3-0,, 11 ,, -1 
13,< 12,Alabama,SEC,,850,W 34-0 H Louisiana-Monroe,3-1,, 13 ,, -11 
14,< 14,Texas A&M,SEC,,776,W 28-21 (1OT) N Arkansas (Southwest Classic),4-0,, 15 ,, +3 
15,< 15,Oklahoma,Big 12,,747,DNP,3-0,, 14 ,, +1 
16,< 17,Northwestern,Big Ten,,566,W 24-19 H Ball State,4-0,, 17 ,, +7 
17,< 19,USC,Pac-12,,509,W 42-14 A Arizona State,3-1,, 16 ,, -11 
18,< 21,Stanford,Pac-12,,486,W 42-24 A Oregon State,3-1,, 20 ,, +8 
19,< 22,Wisconsin,Big Ten,,309,W 28-0 H Hawaii,3-1,, 18 ,, +5 
20,< 24,Oklahoma State,Big 12,,281,W 30-27 A Texas,4-0,, 19 ,, +5 
21,< NR,Mississippi State,SEC,,211,W 17-9 A Auburn,3-1,, 22 ,, +5 
22,< NR,Michigan,Big Ten,,209,W 31-0 H #22 BYU,3-1,, RV ,, +4 
23,< NR,West Virginia,Big 12,,179,W 45-6 H Maryland,3-0,, 21 ,, +3 
24,< NR,California,Pac-12,,149,W 30-24 A Washington,4-0,, 24 ,, +2 
25,< NR,Florida,SEC,,140,W 28-27 H Tennessee,4-0,, 23 ,, +1 
RV,< NR,Toledo,MAC,,68,W 37-7 H Arkansas State,3-0,, RV ,, -- 
RV,< 13,Oregon,Pac-12,,64,L 62-20 H #18 Utah,2-2,, 24 ,, -14 
RV,< 16,Arizona,Pac-12,,48,L 56-30 H #9 UCLA,3-1,, RV ,, -6 
RV,< NR,Boise State,MWC,,38,W 56-14 A Virginia,3-1,, RV ,, -- 
RV,< NR,Iowa,Big Ten,,37,W 62-16 H North Texas,4-0,, RV ,, -- 
RV,< NR,Texas Tech,Big 12,,36,L 55-52 H #3 TCU,3-1,, RV ,, -- 
RV,< NR,Houston,American,,23,W 59-14 H Texas State,3-0,, RV ,, -- 
RV,< NR,Duke,ACC,,18,W 34-20 H #20 Georgia Tech,3-1,, RV ,, -- 
RV,< NR,Temple,American,,17,DNP,3-0,, RV ,, -- 
RV,< NR,Miami (FL),ACC,,14,DNP,3-0,, RV ,, -- 
RV,< NR,Kansas State,Big 12,,12,DNP,3-0,, RV ,, -- 
RV,< NR,Memphis,American,,11,W 53-46 H Cincinnati,4-0,, RV ,, -- 
RV,< NR,NC State,ACC,,10,W 63-13 A South Alabama,4-0,, RV ,, -- 
RV,< NR,Navy,American,,9,W 28-18 A Connecticut,3-0,, RV ,, -- 
RV,< 22,BYU,Ind,,5,L 31-0 A Michigan,2-2,, RV ,, -7 
RV,< NR,Minnesota,Big Ten,,5,W 27-24 H Ohio,3-1,, RV ,, -- 
